Date, Start Time, Meeting ID, Name, Email, Join Time, Leave Time, Minutes, Endpoint Name, Moderator, Encrypted, UserId, Tags
25/03/2021,10:30,###############################################################################################################################################################################################################################################################,Haresh,,10:31,10:45,,,,,,
25/03/2022,10:30,###############################################################################################################################################################################################################################################################,Nilesh,,10:33,10:45,,,,,,
25/03/2023,10:30,###############################################################################################################################################################################################################################################################,Vijay,,10:31,10:45,,,,,,
25/03/2024,10:30,###############################################################################################################################################################################################################################################################,Avinash,,10:31,10:45,,,,,,
25/03/2025,10:30,###############################################################################################################################################################################################################################################################,Chintan,,10:31,10:45,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
